term,cur,prev,diff,ma7,z_like,total
oled,16,5,11,6.0,2.899,30
독점,4,0,4,0.8,1.689,4
아이폰,5,1,4,1.6,1.501,8
9월12일,3,0,3,0.6,1.352,3
as,3,0,3,0.6,1.352,3
automotive,3,0,3,0.6,1.352,3
display,3,0,3,0.6,1.352,3
driver,3,0,3,0.6,1.352,3
growth,3,0,3,0.6,1.352,3
hlb,3,0,3,0.6,1.352,3
lg디스플레이,3,0,3,0.6,1.352,3
samsung,3,0,3,0.6,1.352,3
targets,3,0,3,0.6,1.352,3
고도화,3,0,3,0.6,1.352,3
공급사,3,0,3,0.6,1.352,3
관람객,3,0,3,0.6,1.352,3
까지,3,0,3,0.6,1.352,3
나홀로,3,0,3,0.6,1.352,3
내년에도,3,0,3,0.6,1.352,3
닮은,3,0,3,0.6,1.352,3
대학들,3,0,3,0.6,1.352,3
모음,3,0,3,0.6,1.352,3
몰렸다,3,0,3,0.6,1.352,3
부스에,3,0,3,0.6,1.352,3
삼성d가,3,0,3,0.6,1.352,3
성장동력은,3,0,3,0.6,1.352,3
수혜,3,0,3,0.6,1.352,3
스마트싱스,3,0,3,0.6,1.352,3
이노gdn,3,0,3,0.6,1.352,3
이유는,3,0,3,0.6,1.352,3
전환과,3,0,3,0.6,1.352,3
전환기,3,0,3,0.6,1.352,3
집중하는,3,0,3,0.6,1.352,3
추락,3,0,3,0.6,1.352,3
킵스파마,3,0,3,0.6,1.352,3
특수,3,0,3,0.6,1.352,3
핵심기술,3,0,3,0.6,1.352,3
헬스케어,3,0,3,0.6,1.352,3
가전,3,0,3,0.8,1.161,4
경남,3,0,3,0.8,1.161,4
넘어,3,0,3,0.8,1.161,4
대학,3,0,3,0.8,1.161,4
미래차,3,0,3,0.8,1.161,4
폴더블,3,0,3,0.8,1.161,4
모바일,3,1,2,0.8,1.161,4
설비,3,1,2,0.8,1.161,4
삼성디스플레이,4,4,0,1.6,1.06,8
mou,3,0,3,1.0,1.0,5
경상국립대학교,3,0,3,1.0,1.0,5
15일,2,0,2,0.4,0.98,2
17,2,0,2,0.4,0.98,2
capa,2,0,2,0.4,0.98,2
challenge,2,0,2,0.4,0.98,2
ddi,2,0,2,0.4,0.98,2
finance,2,0,2,0.4,0.98,2
future,2,0,2,0.4,0.98,2
